country,city,product_name,product_category,campaign_channel,budget_spent,impressions,clicks,conversion_rate,units_sold,campaign_date
Canada%,P@r!s@,Pure_Clean_Toner,,FB$,,,4934462,0.0395,0,
usa,Berlin%,PureClean Toner?,SKINCARE,eMAIL,budget non communique,,,0.2553,583635,23/08/24
BRAZIL #,###   ,hydracr   eam,??,insta,18424.59,-1190,632,"0,14",-33,24-01-2024xx
g   ermany,roMe,Hydra_Cream,Beauty ,tik   tok,22 086.47,272379,66,"0,2712",-9,Jul 24 2025
usa   ,New_York,Gl0wSerum   ,SKINCARE,InSTA,budget non communique,N/A,11897,??,0,
brazi   l,N3w_Y0rk,glowserum,Skincare,ti   ktok,budget non communique,-3570,1479848,19.1%,0,35/9/2099
,,,,,,,,,,
C   anada,ToRONto,pure_cLEAN_toneR,skincare,ins   ta,budget non communique,N/A,,0.1762,0,2024-11-10
jAPAn,paris,GLOW_SERUM,SKINCARE,tik tok,17 253.19,284325,2286534,??,beaucoup,2024-11-26
canada%,BERLIN   ,GLOW SERUM,electronics,inStaGRaM,877.90,-3094,,"0,2586",156884,
Spain,neW YoRk,H   ydraCream,beauty,f   acebook,$24867.86,,5746,33.5%,-27,
USA@,Berlin,HydraCream,beauty,Instagram,$13432.53,,16777,,0,42/4/2099
Japan,PARIS   $,HydraCream,beauty,Billbo   ard,budget non communique,-2530,,0.2553,-35,May 9 2024
bRAZIL ,PARIS___,PURECLEAN TONER,SKINCARE,instagram,20693.46,341741,2295467,??,beaucoup,22/8/2099
U.   S.A,Paris,P.C. Toner?,SKINCARE,facEBoOK,budget non communique,,3341470,"0,0315",0,22/7/2099
Spain#,Berlin,PureCleanToner,,FB,17 511.83,-3450,3985,,114,6/4/2099
Germany,Berlin,HYdra_CREaM,Beauty ,insta#,,,,,beaucoup,8/2/2099
Brasi   l,newyork$,GLOW SERUM%,electronics,tik tok$,budget non communique,100782,1762,"0,3114",beaucoup,2023-07-17
brazil,Sao Paulo   ,Hy   draCream,electronics,??$,,-420,,"0,1509",-25,8/14/2099
ITALY,  pARIS,HYDRA_CREAM,beauty,google ads$,budget non communique,263225,??,0.2922,-10,2024-06-10
fraNce,R0me!!,Gl0wSerum,Skincare,tiktok,12 057.53,426321,5804,6.1%,beaucoup,28/2/2099
??$,New_York%,G   lowSerum!!,Skincare,TikTok#,20 790.16,,6839,7.4%,-16,Sep 7 2024
  Ita   ly,tORoNTO,glow SeRUm,beauty,??,11514.95,-3424,??,"0,2786",beaucoup,2025-10-08
  Italy#,BERLIN,GlowSerum!!?,skincare,TikTok,,,7474,"0,0001",-30,10/8/2099
U.S.A,,pUre_Clean_TONer,beauty,Tik   Tok,18 604.61,53676,1310075,??,0,Jul 15 2023
,TORONto,PURECLEAN TONER$,skincare,??,2863.45,N/A,,,631,22-12-2023xx
geRmny,PARIS   ,HYdrACR3am,??,tiktok,1 023.36,,960987,"0,337",0,2023-07-16
unknown%,SAOPAULO!!,GLOW SERUM!!,SKINCARE,insta,budget non communique,N/A,6778,0.3224,368,2024-06-14
U.S   .A,B3RlIn,Gl0wSerum,,INSTAG   RAM,20 301.68,-3159,13639,21.8%,beaucoup,07-07-2023xx
Fr@nce,###$,P   ure_Clean_Toner,,instagram%,,70152,,,-32,Jul 19 2023
UsAA,newyork#,HYDRA CREAM#,beauty,tiktOK,23 821.11,65591,,??,744165,36/4/2099
BRAZIL_,sao_paulo,   GlowSerum,,Instagram,budget non communique,,,18.9%,648,2023-11-02
Canada,paris#,HYDRA CREAM,,Instagram,budget non communique,114162,12476,??,beaucoup,2024-12-10
,,,,,,,,,,
Br   azil,N3w_Y0rk$,PURECLEAN TON   ER,furniture,instagram,18706.93 €,-2344,10009,,551,
,Rome,Gl0wSerum,,Instagram#,9968.81 €,,16927,"0,1617",beaucoup,30/7/2099
francE,T0kyo,hydracream,??,Email,$11766.08,,19782,"0,2117",791586,17/04/23
N/   A,T0kyo,hydracr   eam,electronics,eMail,14926.14,116553,2398324,0.1732,0,
Jappan,###,PURECLEAN TONE   R,beauty,tiktok,5 511.52,,14910,31.1%,-13,13/04/25
FRANCE!!,SAOPAU   LO,Gl0wSerum,,iNstAGrAM,21 089.69,441054,17720,21.5%,-3,27/9/2099
ITALY,N   EW YORK,HYDRA CREAM,electronics,Googl   eAds,$12509.24,N/A,,"0,2231",-13,15-04-2024xx
FR@Nce,NEW YORK   ,HydRACR3am,electronics,billboard,5365.85,N/A,3814447,14.7%,-40,Dec 2 2024
sp   ain,Tokyo $,Hydra_Cream,,   instagram,,339417,10719,"0,2599",774080,03-02-2023xx
spain,t0KyO,HydraCr3am,skincare,GoogleAds,,437816,14022,??,438,07/01/24
BRaZIl,NEW YORK@,pureclean toner#,SKINCARE,google ads$,,484909,,"0,3475",680,Apr 3 2025
JAP   AN,rome,Gl   0wSerum,electronics,   tik tok,13687.0,-4732,11815,,beaucoup,
germany?,Tokyo ,GlowSerum!!,beauty,instagram,23 248.98,-3647,15645,,beaucoup,2025-10-28
,R   oma,pureclean_toner,furniture,tik tok,,-4440,19441,??,0,May 18 2024
Deutschland,Tokyo,GlowSerum!!,,E-mail#,budget non communique,265152,??,,178,
caNaDa,sAoPAuLo,P.C. Toner?,furniture,FB,$1513.31,N/A,17504,??,-39,
brazil@,s√£o pAulo,PureClean Toner@,furniture,google ads,$17223.72,67828,3377869,??,beaucoup,06/11/23
???,,hYDraCreaM,Beauty ,GOOgLE Ads,budget non communique,N/A,??,24.4%,0,2023-04-01
Brazil,R0me$,P.C. Toner,SKINCARE,insTAGRaM,20073.33,-4346,2046717,"0,0793",-25,2/2/2099
N/A$,MADRID_,gLOWserum,,E-mail!!,5 314.42,,4256929,0.2224,-2,40/3/2099
Espa   na,P@R!S,HydraCream   ,??,tik tok,12155.49 €,N/A,2894445,,26,26/05/23
unknown#,B3r   lin,Hydra_Cream,electronics,Email,budget non communique,109456,,,beaucoup,1/1/2099
I   TALY,ToRonto,GlowSe   rum,skincare,e-MaIl,,-4668,3774972,??,888739,23/06/23
fRAnCe,toKyo ,hydracream?,Beauty ,INSTAGRAM@,,-4392,15815,,0,22-09-2024xx
Usaa,,H   YDRA CREAM,??,GoogleAds,14674.92 €,-4296,??,??,131,04-05-2025xx
JAPAN,paris?,HydRA_crEAm,beauty,tik tok#,22478.76,,,,874259,2023-11-01
USA,  Paris,GlowSerum,SKINCARE,BIlLbOaRd,14650.63 €,-1488,??,??,665000,4/13/2099
,,,,,,,,,,
Japan,Berlin,GLO   W SERUM,SKINCARE,F   B,9 442.03,-4319,2011820,4.0%,-41,07/10/24
canada,   BERLIN,PureClean Toner,skincare,IN   STAGRAM,budget non communique,-4409,4664235,"0,2256",beaucoup,
france,R0me,PURECLEAN TONER   ,,insta,21 116.75,-2306,3248186,??,447203,
spain,S√£o Paulo!!,PureClean Ton   er,skincare,Email   ,16713.48,-674,1165788,,beaucoup,
bra   zil,SAo_paULo,P.C. Toner#,SKINCARE,FB,$17949.41,,1921731,,0,
United St   ates,paris,   Glow_Serum,electronics,GoogleAds,,N/A,2694555,,0,May 11 2024
F   ranse,Sao Paulo$,Pure_Clean_Toner,,GoogleAds,21516.7,-4850,7103,32.2%,412,
,romE,HYDRA CREAM,electronics,emAIL,budget non communique,465065,2834869,10.5%,beaucoup,08/07/25
  itAlY,MADRID_,HydraCr3am?,beauty,E-mail?,$9793.61,306654,??,??,257,03/01/23
ESPANa,BERLIN,HYdra_CREaM,Beauty ,insta#,,,,,beaucoup,8/2/2099
unknown,P@R!s,PureCleanToner,furniture,E-MAIl,23 195.14,,??,0.0973,-15,12/12/25
Spain,P   aris,P.C. Toner,SKINCARE,insTaGRam,,,280,32.6%,0,20/10/23
BRAZIL @,Tokyo ,GLOW SERUM,electronics,TikTo   k,budget non communique,354972,,??,737,
Espa√±a%,unknown_city,PuReCLEAn TOner,skincare,??%,11165.17,103966,,14.9%,beaucoup,Oct 7 2025
gErmaNy,B3RLIn,hYDRACr3am,skincare,E-mAIL,budget non communique,491868,15082,27.6%,492980,15/12/23
BraZiL,BERLiN,PureClean Toner%,,??,,-1511,3063,"0,0426",716250,07/09/25
BRAZIL_,TOKYO@,GlOWSeruM,electronics,tik t   ok,budget non communique,276633,9819,,75,25/14/2099
Fr@nce,madRId,G   lowSerum,beauty,INSTaGRam,,-2831,4743130,0.1855,388,2024-06-01
Brazil,New York,glowserum,electronics,Email,18945.75,N/A,,,-6,03/09/23
ITALY,Tokyo_,HydraCream,Beauty ,Billboard$,15 924.20,394582,??,??,beaucoup,13-11-2025xx
,newyork%,PureCleanToner$,skincare,tik tOK,3787.96 €,45146,,32.8%,-50,2024-12-24
JAP   AN,Roma,P.C._Toner,beauty,google_ads,,,,"0,0559",661047,
Deutschland#,B3rlin,HydraCr3am,skincare,insta,,363528,2181687,10.4%,61018,17-08-2025xx
N/A,R0me,HYdrAcr3aM,,TikTok   ,budget non communique,N/A,??,2.3%,beaucoup,2024-04-14
N/A$,sao_paulo,GLoWseRUM!!,,INSTAG   RAM,budget non communique,N/A,??,"0,0367",232832,09-01-2024xx
japan,S   ao Paulo,Glow_Serum,skincare,insta?,$21902.43,,5008,"0,1724",168,Jan 21 2023
spaIn,T0kyo,GLOW_serum,SKINCARE,??,,,??,??,0,18/13/2099
usa,unknown_city,PureClean Toner,SKINCARE,GoogleAds,$4326.88,,,0.3471,721882,2023-06-19
FR@NcE,rOMa,PUREC   LEAN TONER,,??@,,,,??,beaucoup,
Kanada,New York$,GlowSerum,Skincare,billboard@,budget non communique,309441,157,13.9%,412,03-04-2023xx
Germny!!,S√£o_Paulo,GlowSerum!!,SKINCARE,E-Mail,13 839.95,491226,6748,??,553636,15/3/2099
Canada#,   unknown city,GlOw seRUM,SKINCARE,inStAgRam,7 895.62,N/A,??,0.0861,-20,25-04-2024xx
??,TORONTO,hYDRa_CrEAm,electronics,tik_tok,$4788.75,77601,4038395,0.0913,-9,24/09/24
USA$,toronto#,pure_CLEAN_toNER,beauty,instagram,12157.62 €,N/A,,??,beaucoup,2023-01-02
U.S.   A,ParIS   ,hydracream,electronics,insta%,3531.35,N/A,995935,"0,1255",-8,39/11/2099
unknown@,Roma,pUrECLeaNtOnER,furniture,tikt   ok,,494818,1986,??,0,20-08-2023xx
   Jappan,rome,GlowSerum!!@,Skincare,Insta,9 392.87,N/A,4324,24.9%,696,Nov 27 2024
Ja   ppan,Toronto,HydraCream,,instA,20 556.51,,6513,,0,23-04-2025xx
Italie,nEw yORk,Glow_Ser   um,,insta%,7 612.63,452100,,,-43,08/03/25
unknown,madRId ,HydraCr3am#,skincare,??,13 528.20,N/A,,??,699,
sp   ain,ro   me,GLOwSERUM,electronics,??,$4981.59,,??,"0,111",449,
FRA   NCE,   PARIS   ,HYDRA CREAM%,electronics,e-mail,budget non communique,N/A,11975,0.2053,0,32/3/2099
Franse,R0me,pureclean toner,furniture,Instagram,$18171.7,N/A,16043,"0,1311",205,Mar 16 2024
Franse#,toronto,HydraCream%,electronics,inst   agram,1307.22 €,-2085,18493,21.3%,0,12-07-2023xx
France,newyork,Hydra_Cream#,electronics,faceboo   k,budget non communique,N/A,3699034,7.1%,0,Jun 6 2025
??,paris,HYDRacR3aM,??,tik tok#,,140780,??,,327,
Japan$,PARIS   %,HydraCr3am#,skincare,t   ik tok,,N/A,,0.0626,beaucoup,Jan 21 2023
SPaIN,Sao Paulo!!,pUrECleaN toNEr,furniture,FB@,budget non communique,N/A,??,"0,176",-18,18-02-2023xx
Canada%,Paris!!,PUREcleAntoner,skincare,??   ,,335047,??,??,0,18/09/24
   Spain,Tokyo $,HydraCr3am,beauty,GoogleAds@,budget non communique,469733,,0.2937,beaucoup,2023-07-01
esPA√±A,Roma,GlowSerum%,electronics,google ads%,budget non communique,,16234,,7,23-08-2023xx
unkn   own,São_Paulo,Pu   reClean Toner,,email,,N/A,4656947,??,-40,
,P@   r!s,Glow_Serum   ,,Billboard,11442.12 €,142033,2031,"0,1023",0,34/14/2099
brazil,B3rlIN,GLOW_SERUM,beauty,Billboard$,,,??,0.1799,557843,
  Italy#,rOMe,Gl0wSerum,Skincare,insta,,N/A,3569520,??,18,04/01/24
Fr@nce@,NEW YORK,Gl   owSerum,electronics,email,$7203.76,-1796,3083054,??,347,2023-05-09
Germany,New York,Glow_Se   rum,beauty,insta,$3053.45,N/A,,??,190802,04-03-2023xx
jaPAn,S√£o_Paulo,PURECLEAN    TONER,skincare,email,21942.29,21467,13677,,94,Jul 11 2025
italy%,SAO paulo,HYDRacr3am,electronics,gOOGlE aDs,823.96,N/A,,,beaucoup,
BRaZIL,PARIS   #,hydracream,beauty,??,12 672.92,,4972832,0.0983,-20,Jul 14 2023
Deutschland,Sao Paulo,P   ureCleanToner,skincare,INSTA   GRAM,13 244.53,143197,10578,,408,7/5/2099
Brazil,Paris,PurEclEan TONER,furniture,FB,18112.84,N/A,8705,??,430872,
Jappan,TORONTO,PURECLEAN TONER#,beauty,instagram,18 178.22,,,??,-1,18-05-2025xx
itALY,s√£O PAulo,PUrECleAN toNER,beauty,google ads,24442.47,,2110,13.0%,-33,12/09/24
BRAZIL ,TOKYO,PureCleanToner%,beauty,billboard!!,$12101.88,,17744,29.1%,933386,15/07/23
Espa√±a?,rome,PURECLEAN TONER,skincare,Instagram,14355.34,-2684,??,26.8%,565710,Feb 20 2025
U   nited States,  Paris?,GLOW SERUM#,Skincare,Bi   llboard,$84.93,,3166111,13.2%,791066,2023-12-24
   U.S.A,PARIS___,glowserum,skincare,instagram#,,-3013,2779903,0.0026,-28,8/3/2099
Canada   ,Sa   o Paulo,HydraCream,Beauty ,TIKToK,11445.38 €,-2249,1907,"0,0125",beaucoup,
Fr@   nce,S√£o Paulo,HydraCr3   am,??,E-mail,2376.9,N/A,,??,0,01/10/25
itaLy,BERLIN$,GlowSerum!!@,skincare,insta,17552.05,,,0.283,436,
iTAly,ROme,gL0wsERUM,Skincare,tik to   k,$14432.37,348534,5330,"0,2743",0,16/01/25
kAnAda,sAo_PaUlO,HydraCream,beauty,FB,5968.34 €,,??,,133,23/15/2099
Jappan?,Rome,Pure_Clean_Toner,skincare,tikto   k,23226.17 €,-922,3260,0.0155,590,
Fr@nce,Paris,Hydra   Cr3am,skincare,Billboard!!,12 333.26,257330,3458029,??,0,
Jappan,Toronto,   GlowSerum,SKINCARE,INSTAGRAM,$24208.2,,,0.1049,413,2024-12-06
Franse%,New York,hydRAcReaM,beauty,google ads%,budget non communique,92057,,0.3355,491,Jan 12 2023
u   sa,ROmE,Pure_Clean_Toner,beauty,Instagram,$5118.98,-2585,3578191,0.0193,495,02-08-2025xx
unknown?,PARIS   ,GlowSerum!!$,electronics,billboard,5455.91,459685,8945,,beaucoup,
Fr@ncE,Tokyo?,hydracream,??,TiKTok,,-408,??,0.0555,14,Dec 8 2023
spain,PaRIs,Gl0wSerum   ,,tik tok$,budget non communique,490796,??,,0,2024-09-20
uSa,T   oronto,gloWSeRUM!!,,email,budget non communique,242214,??,0.0244,-21,10/07/24
jaPAN,Roma,GLOW SERUM#,skincare,GoogleAds,21191.63,-3512,??,??,280166,
Germny$,  pARIs,Hydra_Cream,beauty,Instagram,3832.88,N/A,10565,21.4%,-9,
Espana!!,T   OKYO,GlowSerum,beauty,google    ads,budget non communique,N/A,,21.1%,976202,Dec 22 2024
Kanada,New_York,PureCleanTo   ner,,t   ik tok,,,??,,0,2024-07-02
USaA,P@R!s,Gl0wSerum#,beauty,??,budget non communique,366626,,??,beaucoup,2025-03-01
Canada,Rome$,hydracream,??,f   acebook,15090.65 €,58775,,0.0424,0,24-04-2023xx
spai   n,tOkyo,HYdracreaM,skincare,billboard,budget non communique,287310,2401258,0.1128,658,19/7/2099
,,,,,,,,,,
USA,newyor   k,p.C. ToneR,SKINCARE,E   mail,$6685.04,90507,9325,,497917,01/03/25
USA,toroNTo,PureClean_Toner,,tik tok,12864.38 €,-952,10516,"0,1087",-10,8/3/2099
??,rome,GL0wserum,SKINCARE,INSTAGRAM@,,N/A,978707,"0,0387",beaucoup,23-03-2023xx
Germany,unknown_city,puREclEan TONER,,insta,$801.77,N/A,,"0,3485",547,17/2/2099
brazil,New_York,Pure_Clean_Toner$,beauty,TikTok,,N/A,9806,"0,2022",0,2024-11-06
,,,,,,,,,,
Fr@nce#,SAOPAULO$,HYDRA CR   EAM,beauty,InSTaGraM,11 607.19,271107,??,"0,0847",556,
U.S.A,newyork,PureClean Toner,SKINCARE,E-   mail,,-3945,19308,??,beaucoup,Dec 7 2025
Fr@nce@,  paRIs,HydrA CReaM,Beauty ,Instagram@,,311276,??,??,beaucoup,20/03/24
U.S.A#,TOKY   O,HydraCr3am,,   tiktok,budget non communique,-304,16922,1.8%,799,12/01/25
France@,newyork,HydraCream,Beauty ,?   ?,4 779.45,,1131713,0.1846,790424,Nov 20 2025
   Espa√±a,SAOPAULO,P.C. Toner,furniture,EMaIL,19590.33 €,-225,8769,,226018,37/8/2099
USa,BERLIN,puREcLeaN TonER,,g   oogle ads,,N/A,??,,beaucoup,26/04/24
   Usaa,MADRID_,PUreCLeANTONEr,SKINCARE,in   sta,,348484,,??,beaucoup,04/09/23
Fr@nce,PARIS   ,Glow_Serum,SKINCARE,,23645.75,237593,4904775,0.1028,-15,2025-06-21
spain!!,Berlin%,hydracream,??,FB@,12464.9,275918,3541,"0,1317",-5,02/10/25
germany,T0kyo#,Hydra_Cream,electronics,tik tok,,,4421635,,-31,02/01/25
GERmnY,UNkNOWN CitY,gLowseruM,,tiktok,budget non communique,N/A,6290,"0,076",-8,08/12/24
UNknoWn,P@r!s,GlowSerum%,electronics,iNSTagRaM,,,6050,,289,
usa,sao_pau   lo,GlowSerum!!   ,Skincare,Email,budget non communique,1179,,"0,2428",84,33/2/2099
bRAsil,sAO paULo,H   YDRA CREAM,electronics,INST   AGRAM,14292.92 €,,3342,??,637,2025-09-02
,TOROnTO,gLoWsERUm,,facebook,$23827.68,N/A,4109,0.2507,177,34/7/2099
espA√±a,sao_paulo%,PURECLEAN TONER?,SKINCARE,insta,,-2137,15036,29.4%,-1,Apr 11 2023
,mADRiD,glowserum,SKINCARE,facebook,4 592.85,-3054,8680,,0,18-08-2025xx
BRAZIL_,N3w_Y   0rk,P.C   . Toner,SKINCARE,InStAgrAM,$21274.86,N/A,??,"0,2411",0,2024-04-26
BRAZIL ,newyork,P.C._Toner,furniture,E-m   ail,budget non communique,N/A,,"0,06",604491,27/12/24
France,Tokyo,Hydra_Cream,??,Billboard!!,,N/A,6057,??,476,2025-09-28
Germany,P@r!s,GlowSerum!!,,tik tok,23135.03 €,-2875,,,0,
germny,rome!!,HydraCream,electronics,ema   il,24797.42,437258,11146,"0,1934",406,
Espa√±a,Tokyo ,Hy   draCr3am,beauty,TikTok@,21819.98 €,N/A,,0.0579,9,Aug 21 2023
   Espa√±a,Toronto,glOWsEruM,beauty,   insta,budget non communique,N/A,,11.3%,0,28/9/2099
usa,unknown_city,PureCle   anToner,furniture,INSTAGRAM,,,,18.5%,-35,21/11/2099
U.S.A   ,toronto#,HydraCr3am?,??,billboard,16 038.31,223148,??,19.5%,620993,09/07/25
Franse,###,glowserum,Skincare,Instagram,12696.75 €,,1360452,"0,0436",0,2024-09-06
BRAZIL    ,T0kyo   ,hydracream,Beauty ,Email,12682.23,N/A,3238254,3.1%,0,20-02-2024xx
canada$,   P@r!s,PureClean Toner,beauty,billboard%,1226.48,N/A,6024,??,269,15-08-2024xx
Spain   ,Roma   ,pUreCLEaN toNER,SKINCARE,INstAgRam,15 427.33,439505,??,,246,2023-03-01
N/A,Sao Paulo,gLOw SeRUM,skincare,googl   e ads,$5470.48,301880,??,,-32,Dec 3 2025
I   TALY,São_Paulo,Pure_Clean_Toner,SKINCARE,Billboard,13 565.53,185768,8087,,beaucoup,19/01/23
GERmNY,T0kyo,GlowSerum!!,skincare,TikTok@,budget non communique,-4443,??,"0,2017",906193,2023-02-23
USA$,,pure_CLEAN_toNER,beauty,instagram,12157.62 €,N/A,,??,beaucoup,2023-01-02
eSPANA,MADrid,HydraCr3am!!,??,email,$20415.76,,2487,15.8%,0,
ITaLiE,,GlowSerum!!,beauty,Email$,10977.97 €,N/A,8829,0.0395,0,Mar 6 2023
Japan,BERLIN#,GlowSerum!!   ,skincare,E-mail@,$17723.59,-1535,777,20.7%,beaucoup,05/06/24
,Sao Paulo   ,Hy   draCream,electronics,??$,,-420,,"0,1509",-25,8/14/2099
KAnADa,T0ky   o,GLOW SERUM#,electronics,E-mail%,11626.61 €,-2976,??,??,528,
spai   n,S√£o_Paulo,GLOW SERUM%,,bi   llboard,,137797,,"0,0633",0,
Us   aa,madRID ,   hydracream,??,tiktok   ,$2160.93,-2412,4468450,,-32,09-08-2024xx
USa,   S√£o Paulo,HydraC   ream,Beauty ,Billboard,12551.0 €,-548,??,,-6,
Franse,SAOPAULO!!,HydraCr3am#,skincare,Billboard,17643.87 €,,??,??,beaucoup,15/06/25
Espa√±a?,Paris,Glow_Serum,,facebook,,253111,1709626,3.1%,719831,17/8/2099
Canada#,SAOPAULO?,PureCleanToner%,,tik tok,,240623,??,20.6%,158737,
